,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Phase,Phase,Phase,Phase
,afLeftThigh,afLeftKnee,afLeftAnkle,afLeftFoot,afRightThigh,afRightKnee,afRightAnkle,afRightFoot,pfWaist,pfLeftFemurHead,pfLeftKnee,pfLeftAnkle,pfRightFemurHead,pfRightKnee,pfRightAnkle,LeftArm,LeftHip,LeftKnee,LeftAnkle,LeftToe,RightArm,RightHip,RightKnee,RightAnkle,RightToe,RL - T4,RL - RunLab,LL - T4,LL - RunLab
54,3.68,1.49,3.27,3.35,2.4,0.08,10.69,16.73,1.69,1.86,2.03,8.41,3.91,0.82,10.03,38.65,158.87,145.68,72.33,6.52,32.25,141.2,95.15,81.91,34.21,Midswing,Midswing,Midstance,Midstance
55,3.68,2.26,4.98,4.88,2.31,0.93,9.5,16.89,2.13,2.89,1.16,10.49,3.87,0.71,8.67,33.86,163.32,148.37,72.9,12.81,34.04,138.97,97.46,88.44,11.55,Midswing,Midswing,Terminal Stance,Terminal Stance
56,4.04,2.7,3.95,4.87,1.84,0.64,8.51,16.24,2.98,2.66,1.35,11.77,4.13,2.42,4.35,31.19,167.22,152.32,75.32,16.84,35.74,138.61,102.55,84.67,11.06,Midswing,Midswing,Terminal Stance,Terminal Stance
57,4.01,3.36,4.44,4.39,2.14,0.56,9.27,11.64,4.62,3,0.65,9.59,3.52,2.48,0.01,28.9,,,,22.9,36.95,137.84,108.75,82.94,6.06,Midswing,Midswing,Terminal Stance,Terminal Stance
58,4.71,4.83,6.14,2.54,1.89,0.35,9.11,7.96,4.21,3.85,0.12,9.16,4.8,4.29,1.12,27.73,173.9,157.88,78.69,23.32,38.64,137.75,117.51,81.62,12.25,Terminal Swing,Midswing,Terminal Stance,Terminal Stance
59,5.23,6.13,6.71,4.06,1.83,0.52,8.75,4.8,4.98,4.26,1.11,4.95,4.02,4.08,1.12,26.68,176.3,159.85,81.57,22.6,39.36,138.16,126.03,78.57,9.05,Terminal Swing,Midswing,Terminal Stance,Terminal Stance
60,5,5.88,4.77,4.15,0.04,0.93,8.1,1.7,5.74,3.48,0.13,1.31,3.74,3.69,2.43,25.59,176.9,159.99,87.63,32.63,40.24,140.1,134.68,78.85,7.85,Terminal Swing,Midswing,Terminal Stance,Terminal Stance
61,4.69,5.26,6.12,3.91,0.3,0.2,1.65,357.41,6.18,3.12,0.32,2.15,3.69,3.08,0.72,25.57,178.41,159.62,92.45,33.85,41.34,144.54,144.69,80.52,20.09,Terminal Swing,Midswing,Terminal Stance,Terminal Stance
62,4.23,4.49,7.02,2.2,0.48,0.05,1.42,356.23,5.64,2.33,2.14,4.42,3.92,2.95,0.09,24.94,,,,43.85,42.01,145.66,150.68,80.19,20.2,Terminal Swing,Midswing,Terminal Stance,Terminal Stance
63,4.08,3.43,7.47,1.16,0.51,0.22,3.99,356.01,5.34,2.13,2.79,1.78,3.61,2.43,0.35,24.16,176.19,151.4,107.12,52.56,42.28,147.75,157.83,81.56,12.99,Terminal Swing,Midswing,Terminal Stance,Terminal Stance
64,3.24,1.55,8.76,0.76,1.22,0.86,6.91,356.17,6.32,0.81,4.05,1,4.05,3.02,3.98,24.22,174.22,144.84,113.32,41.84,42.46,149.47,160.66,79.07,7.95,Terminal Swing,Midswing,Terminal Stance,Terminal Stance
65,2.68,0.2,9.61,3.3,0.59,0.46,5.63,353.06,5.95,0.16,5.68,1.7,4.45,3.19,5.56,24.78,171.52,137.58,117.73,20.14,41.91,151.03,161.64,78.05,12.73,Terminal Swing,Terminal Swing,Terminal Stance,Terminal Stance
66,2.45,0.16,11.48,3.48,1.33,0.56,6.85,353.74,4.32,0.54,5.05,1.58,4.8,,,25.21,168.87,,,11.79,41.81,152.68,161.64,79.58,17.75,Terminal Swing,Terminal Swing,Toe Off,Toe Off
67,1.54,0.87,11.67,4.93,2.69,0.64,4.84,353.07,2.9,0.38,4.11,2.52,4.61,1.89,2.21,26.05,165.37,120.55,118.64,12.53,41.44,154.45,161.47,78.2,15.63,Initial Strike,Initial Strike,Midswing,Midswing
68,0.71,2.08,12.2,7.91,4.04,0.49,2.74,357.34,2.74,0.18,2.76,2.46,4.89,2.19,1.8,26.37,162.24,111.23,113.84,5.08,40.51,155.63,159.93,80.88,10.84,Loading Response,Loading Response,Midswing,Midswing
69,0.19,1.45,12.41,8.14,4.49,0.71,1.48,359.21,3.02,0.69,3.72,11.75,5.58,2.19,4.89,27.88,160.13,103.91,109.71,10.2,39.75,156.47,158,84.35,8.2,Loading Response,Loading Response,Midswing,Midswing
70,0.14,1.02,12.27,0.68,4.11,0.48,3.64,0.25,2.56,0.29,3,8.85,5.78,3.4,3.07,29.83,156.64,97.24,107.57,8.46,39.2,155.34,153.39,83.52,10.13,Loading Response,Loading Response,Midswing,Midswing
71,0.37,2.51,9.66,3.65,3.47,1.25,4.7,1.37,3.66,0.5,2.33,10.66,4.8,1.32,1.36,31.75,150.59,89.58,105.3,8.59,37.52,153.57,146.97,82.99,11.22,Loading Response,Loading Response,Midswing,Midswing
72,0.75,5.55,6.8,9.95,4.47,0.77,6.55,0.93,,1.23,2.83,9.23,4.08,1.16,6.48,35.58,146.52,84.43,102.79,10.04,36.13,151.91,141.29,79.09,12.19,Loading Response,Loading Response,Midswing,Midswing
73,1.75,10.31,8,11.36,4.58,1.55,7.05,0.9,,0.17,3.76,4.58,3.68,3.02,8.2,37.27,143.78,80.8,99.79,8.69,33.93,149.5,134.71,75.08,13.48,Loading Response,Loading Response,Midswing,Midswing
74,2.66,16.16,10.82,10.82,4.17,3.12,8.97,0.32,,0.76,1.32,7.76,3.67,3.06,6.89,38.45,139.87,77.66,96.71,9.3,31.95,150.96,134.57,73.53,13.7,Loading Response,Loading Response,Midswing,Midswing
75,3.41,20.93,14.7,11.18,4.1,3.08,10.32,2,,3.22,1.75,2.44,4.06,3.1,10.04,40.37,133.23,76.58,96.6,11.74,30.31,150.85,131.97,71.43,12.09,Loading Response,Loading Response,Midswing,Midswing
76,4.35,21.8,13.8,9.29,3.26,4.7,11.26,1.26,4.08,0.28,3.09,2.59,3.24,3.99,13.33,43.72,132.96,77.78,91.96,,27.72,155.05,133.04,69.24,5.57,Midstance,Midstance,Midswing,Midswing
77,4.14,16.99,9.95,10.46,2.92,5.65,12,1.33,4.19,2.99,6.02,4.76,4.23,1.94,11.71,45.76,131.12,79.09,89.8,,25.83,158.62,133.85,67.87,7.54,Terminal Stance,Terminal Stance,Midswing,Midswing
78,4.64,13.57,4.72,9.21,2.78,5.44,12.58,2.62,5.13,2.44,4.79,2.26,3.61,3.48,13.77,46.21,,,89.75,16.56,23.34,162.36,136.49,68.3,,Terminal Stance,Terminal Stance,Midswing,Midswing
79,4.89,10.89,0.08,11.05,3.56,5.2,12.29,1.91,4.68,2.07,3.24,6.37,3.57,3.22,11.29,47.34,,,85.8,10.22,22.19,164.32,135.95,67.42,5.02,Terminal Stance,Terminal Stance,Midswing,Midswing
80,5.07,8.37,3.6,10.15,3.71,5.88,11.31,0.64,5.5,2.13,1.42,5.21,2.67,4.56,11.91,49.23,,,,14.06,22.31,167.46,139.3,67.59,2.76,Terminal Stance,Terminal Stance,Midswing,Midswing
81,4.77,6.15,7.07,10.83,4.08,5.32,12.36,1.05,5.67,2.46,1.29,5.74,3,4.27,9.9,50.34,,,,12.05,21.39,171.33,143.95,70.2,8.2,Terminal Stance,Terminal Stance,Midswing,Midswing
82,4.63,5.27,6,8.87,4.9,3.17,10.29,1.45,4.32,1.24,0.48,1.12,3.94,2.82,6.34,52.22,,,,13.26,21.79,176.47,150.27,75.56,10.79,Terminal Stance,Terminal Stance,Terminal Swing,Midswing
